Eastham,ˈiːstəm,East_*ˈiːst:ham_əm
Falls+Church,ˈfɔlz+tʃɜrtʃ,Falls_*ˈfɔlz*:+_+:Church_*tʃɜrtʃ
Cairo,ˈkaɪro,Cai_*ˈkaɪ:ro_ro
Cranston,ˈkrænstən,Cran_*ˈkræn:ston_stən
Eastern+Passage,ˈiːstərn+ˈpæsɪdʒ,Eastern_*ˈiːstərn*:+_+:Passage_*ˈpæsɪdʒ
Albion,ˈælbiən,Al_*ˈæl:bion_biən
Brandon,ˈbrændən,Bran_*ˈbrænd:don_ən
Leominster,ˈlɛmɪnstər,Leom_*ˈlɛm:in_ɪn:ster_stər
Eastport,ˈiːstpɔːrt,East_*ˈiːst:port_pɔːrt
East+Cleveland,ˈiːst+ˈkliːvlənd,East_*ˈiːst*:+_+:Cleveland_*ˈkliːvlənd
Everett,ˈɛvərɪt,Ev_*ˈɛv:er_ər:ett_ɪt
Rockville,ˈrɒkvɪl,Rock_*ˈrɒk:ville_vɪl
Syracuse,ˈsɪrəˌkjuːs,Syr_*ˈsɪr:acuse_əˌkjuːs
Durham,ˈdʌrəm,Dur_*ˈdʌr:ham_əm
Palm+Harbor,ˈpɑːm+ˈhɑːrbər,Palm_*ˈpɑːm*:+_+:Harbor_*ˈhɑːrbər
Blairstown,ˈbleərstɑʊn,Blair_*ˈbleər:st_st:own_ɑʊn
Corpus+Christi,ˈkɔːrpəs+ˈkrɪsti,Corpus_*ˈkɔːrpəs*:+_+:Christi_*ˈkrɪsti
Moorestown,ˈmɔːrstɑʊn,Moore_*ˈmɔːr:stown_stɑʊn
Easton,ˈiːstən,East_*ˈiːst:on_ən
Edison,ˈɛdɪsən,Edi_*ˈɛdɪ:son_sən
Glen+Cove,ˈɡlɛn+koʊv,Glen_*ˈɡlɛn*:+_+:Cove_*koʊv
Utica,ˈjuːtɪkə,Ut_*ˈjuːt:ica_ɪkə
Lakeville,ˈleɪkˌvɪl,Lake_*ˈleɪk:ville_ˌvɪl
Staunton,ˈstɔntən,Staun_*ˈstɔn:ton_tən
Greenfield,ˈɡriːnfiːld,Green_*ˈɡriːn:field_fiːld
Fort+Worth,ˌfɔːrt+ˈwɜrθ,Fort_*ˌfɔːrt*:+_+:Worth_*ˈwɜrθ
Bennington,ˈbɛnɪŋtən,Ben_*ˈbɛn:ning_ɪŋ:ton_tən
Attleboro,ˈætəlˌbɜroʊ,At_*ˈæt:tle_əl:boro_ˌbɜroʊ
Roosevelt,ˈruːzvɛlt,Roo_*ˈruːz:sevelt_vɛlt
Issaquah,ˈɪsəkwɑːh,Is_*ˈɪs:sa_ə:quah_kwɑːh
Levittown,ˈlɛvɪtaʊn,Lev_*ˈlɛv:it_ɪt:town_aʊn
Pittsburgh,ˈpɪtsbərɡ,Pitts_*ˈpɪts:burgh_bərɡ
Reading,ˈrɛdɪŋ,Rea_*ˈrɛ:ding_dɪŋ
North+Haledon,ˈnɔrθ+ˈhælədən,North_*ˈnɔrθ*:+_+:Haledon_*ˈhælədən
Newport+News,ˈnjuːpɔːrt+njuːz,New_*ˈnjuː:port_pɔːrt*:+_+:News_*njuːz
Haverstraw,ˈheɪvərstrɔː,Haver_*ˈheɪvər:straw_strɔː
Denham,ˈdɛnəm,Den_*ˈdɛn:ham_əm
Lynn+Haven,ˈlɪn+ˈheɪvən,Lynn_*ˈlɪn*:+_+:Haven_*ˈheɪvən
Plymouth,ˈplɪməθ,Ply_*ˈplɪ:mouth_məθ
Dover,ˈdoʊvəɹ,Dov_*ˈdoʊv:er_əɹ
Silver+Spring,ˈsɪlvər+sprɪŋ,Silver_*ˈsɪlvər*:+_+:Spring_*sprɪŋ
Middletown,ˈmɪdəltown,Mid_*ˈmɪd:dle_əl:town_town
Irvington,ˈɜːrvɪŋtən,Ir_*ˈɜːr:v_v:ing_ɪŋ:ton_tən
Newark,ˈnuːərk,New_*ˈnuː:ark_ərk
Rockland,ˈrɒklənd,Rock_*ˈrɒk:land_lənd
Gaffney,ˈɡæfni,Gaff_*ˈɡæf:ney_ni
Canton,ˈkæntən,Can_*ˈkæn:ton_tən
Dickinson,ˈdɪkɪnsən,Dick_*ˈdɪk:in_ɪn:son_sən
Paden+City,ˈpeɪdən+sɪti,Paden_*ˈpeɪdən*:+_+:City_*sɪti
Watchung,ˈwɔːtʃʌŋ,Watch_*ˈwɔːtʃ:ung_ʌŋ
Germantown,ˈdʒɜrməntaʊn,Ger_*ˈdʒɜr:mantown_məntaʊn
Peabody,ˈpiːbədi,Pea_*ˈpiː:body_bədi
Circleville,ˈsɜrkəlvɪl,Cir_*ˈsɜrk:cle_əl:ville_vɪl
Haledon,ˈheɪldən,Ha_*ˈheɪ:led_ld:on_ən
Norwich,ˈnɒrɪdʒ,Nor_*ˈnɒr:wich_ɪdʒ
Redwood+City,ˈrɛdˌwʊd+ˈsɪti,Red_*ˈrɛd:wood_ˌwʊd*:+_+:City_*ˈsɪti
Battle+Creek,ˈbætəl+kriːk,Battle_*ˈbætəl*:+_+:Creek_*kriːk
Euless,ˈjuːlɪs,Eu_*ˈjuː:less_lɪs
Eastpoint,ˈiːstˌpɔɪnt,East_*ˈiːst:point_ˌpɔɪnt
Amsterdam,ˈæmstərdæm,Am_*ˈæm:ster_stər:dam_dæm
Fishkill,ˈfɪʃˌkɪl,Fish_*ˈfɪʃ:kill_ˌkɪl
Liverpool,ˈlɪvərˌpul,Liv_*ˈlɪv:er_ər:pool_ˌpul
Cranford,ˈkrænfərd,Cran_*ˈkræn:ford_fərd
Pleasantville,ˈplɛzəntvɪl,Pleas_*ˈplɛz:ant_ənt:ville_vɪl
Vicksburg,ˈvɪksbɜːrɡ,Vicks_*ˈvɪks:burg_bɜːrɡ
Great+Neck,ˈɡreɪt+nɛk,Great_*ˈɡreɪt*:+_+:Neck_*nɛk
East+Aurora,ˈiːst+əˈrɔːrə,East_*ˈiːst*:+_+:Aurora_*əˈrɔːrə
Westfield,ˈwɛstfild,West_*ˈwɛst:field_fild
Franklin,ˈfræŋklɪn,Frank_*ˈfræŋk:lin_lɪn
Woburn,ˈwoʊbərn,Wob_*ˈwoʊb:urn_ərn
Georgetown,ˈdʒɔːrdʒtaʊn,George_*ˈdʒɔːrdʒ:town_taʊn
Hauppauge,ˈhɔːpɔːɡ,Hau_*ˈhɔː:ppauge_pɔːɡ
Springfield,ˈsprɪŋˌfiːld,Spring_*ˈsprɪŋ:field_ˌfiːld
Jonesville,ˈdʒoʊnzvɪl,Jones_*ˈdʒoʊnz:ville_vɪl
Beaconsfield,ˈbiːkənzfiːld,Bea_*ˈbiː:cons_kənz:field_fiːld
Pittsfield,ˈpɪtsfiːld,Pitts_*ˈpɪts:field_fiːld
New+Haven,ˈnuː+ˈheɪ.vən,New_*ˈnuː*:+_+:Haven_*ˈheɪ.vən
Plaistow,ˈplæstəʊ,Plaist_*ˈplæst:ow_əʊ
Dale+City,ˈdeɪl+ˈsɪti,Dale_*ˈdeɪl*:+_+:City_*ˈsɪti
Conway,ˈkɑnweɪ,Con_*ˈkɑn:way_weɪ
Sumiton,ˈsʌmɪtən,Sum_*ˈsʌm:i_ɪ:ton_tən
Stuyvesant,ˈstaɪvəsənt,Stuy_*ˈstaɪ:vesant_vəsənt
Linthicum,ˈlɪnθɪkəm,Lin_*ˈlɪn:thi_θɪ:cum_kəm
Shippensburg,ˈʃɪpənzˌbɜːrɡ,Ship_*ˈʃɪp:pens_ənz:burg_ˌbɜːrɡ
Phenix,ˈfiːnɪks,Phen_*ˈfiːn:ix_ɪks
Union+City,ˈjuːniən+ˈsɪti,Union_*ˈjuːniən*:+_+:City_*ˈsɪti
Amherst,ˈæmhərst,Am_*ˈæm:herst_hərst
Waterbury,ˈwɔːtərˌbɛri,Water_*ˈwɔːtər:bury_ˌbɛri
New+Castle,ˈnuː+ˈkæsəl,New_*ˈnuː*:+_+:Castle_*ˈkæsəl
Birmingham,ˈbɜːrmɪŋəm,Birm_*ˈbɜːrm:ing_ɪŋ:ham_əm
Stamford,ˈstæmfərd,Stam_*ˈstæm:ford_fərd
Babylon,ˈbæbɪlən,Ba_*ˈbæ:by_bɪ:lon_lən
Kinston,ˈkɪnstən,Kin_*ˈkɪn:ston_stən
Coral+Gables,ˌkɔːrəl+ˈɡeɪbəlz,Coral_*ˌkɔːrəl*:+_+:Gables_*ˈɡeɪbəlz
Ithaca,ˈɪθəkə,Ith_*ˈɪθ:aca_əkə
Charleston,ˈtʃɑːrlstən,Char_*ˈtʃɑːr:leston_lstən
Beacon,ˈbiːkən,Bea_*ˈbiː:con_kən
Woodbury,ˈwʊdbɛri,Wood_*ˈwʊd:bury_bɛri
Fishers,ˈfɪʃərz,Fish_*ˈfɪʃ:ers_ərz
Milford,ˈmɪlfərd,Mil_*ˈmɪl:ford_fərd
Delaware,ˈdɛləˌwɛər,Del_*ˈdɛl:aware_əˌwɛər
Denton,ˈdɛntən,Den_*ˈdɛn:ton_tən
Holly+Springs,ˈhɑli+sprɪŋz,Holly_*ˈhɑli*:+_+:Springs_*sprɪŋz
Cleveland,ˈkliːvlənd,Cleve_*ˈkliːv:land_lənd
Loudon,ˈlaʊdən,Loud_*ˈlaʊd:on_ən
Renton,ˈrɛntən,Ren_*ˈrɛn:ton_tən
Lanham,ˈlænəm,Lan_*ˈlæn:ham_əm
Lexington,ˈlɛksɪŋtən,Lex_*ˈlɛks:ing_ɪŋ:ton_tən
Hagerstown,ˈheɪɡərstaʊn,Hager_*ˈheɪɡər:stown_staʊn
Prattsburgh,ˈprætsbɜːrɡh,Pratts_*ˈpræts:burgh_bɜːrɡh
Swarthmore,ˈswɔːrθmɔːr,Swarth_*ˈswɔːrθ:more_mɔːr
Harriman,ˈhærɪmən,Har_*ˈhær:ri_ɪm:man_ən
Oyster+Bay,ˈɔɪstər+beɪ,Oyster_*ˈɔɪstər*:+_+:Bay_*beɪ
Accokeek,ˈækoʊkiː+,Ac_*ˈæ:co_koʊ:keek_kiː+
Pearl+River,ˈpɜrl+ˈrɪvər,Pearl_*ˈpɜrl*:+_+:River_*ˈrɪvər
Brooklyn,ˈbrʊklɪn,Brook_*ˈbrʊk:lyn_lɪn
Youngstown,ˈjʌŋstaʊn,Young_*ˈjʌŋ:stown_staʊn
Linden,ˈlɪndən,Lin_*ˈlɪn:den_dən
Lewisville,ˈluːɪsvɪl,Lewis_*ˈluːɪs:ville_vɪl
Wake+Forest,ˈweɪk+ˈfɔrɪst,Wake_*ˈweɪk*:+_+:Forest_*ˈfɔrɪst
Dunwoody,ˈdʌnˌwʊdi,Dun_*ˈdʌn:woody_ˌwʊdi
Milton,ˈmɪltən,Mil_*ˈmɪl:ton_tən
Airmont,ˈɛərmɒnt,Air_*ˈɛər:mont_mɒnt
Warren,ˈwɔːrən,War_*ˈwɔːr:ren_ən
Winchester,ˈwɪntʃɪstər,Win_*ˈwɪn:ches_tʃɪs:ter_tər
Winthrop,ˈwɪnˌθrɑp,Win_*ˈwɪn:throp_ˌθrɑp
Redding,ˈrɛdɪŋ,Red_*ˈrɛd:ding_ɪŋ
Fort+Smith,ˈfɔrt+smɪθ,Fort_*ˈfɔrt*:+_+:Smith_*smɪθ
Norfolk,ˈnɔːrfək,Nor_*ˈnɔːr:folk_fək
Sturbridge,ˈstɜːrbrɪdʒ,Stur_*ˈstɜːr:bridge_brɪdʒ
Hamilton,ˈhæməltən,Ham_*ˈhæm:ilton_əltən
Brooksville,ˈbrʊksvɪl,Brook_*ˈbrʊk:sville_svɪl
Herndon,ˈhɜːrdən,Her_*ˈhɜːr:ndon_dən
Bangor,ˈbæŋɡɔː,Bang_*ˈbæŋ:or_ɡɔː
Gainesville,ˈɡeɪnzvɪl,Gaines_*ˈɡeɪnz:ville_vɪl
Lubbock,ˈlʌbək,Lub_*ˈlʌb:bock_ək
Northampton,ˈnɔːrθæmptən,North_*ˈnɔːrθ:ampton_æmptən
Holliston,ˈhɑlɪstən,Hol_*ˈhɑl:lis_ɪs:ton_tən
Hicksville,ˈhɪksvɪl,Hick_*ˈhɪk:sville_svɪl
Echo+Lake,ˈɛkoʊ+leɪk,Echo_*ˈɛkoʊ*:+_+:Lake_*leɪk
Hudson,ˈhʌdsən,Hud_*ˈhʌd:son_sən
Braintree,ˈbreɪntri,Bra_*ˈbreɪ:intree_ntri
Alton,ˈɔːltən,Al_*ˈɔːl:ton_tən
Lumberton,ˈlʌmbərtən,Lum_*ˈlʌm:ber_bər:ton_tən
Corinth,ˈkɔrɪnθ,Cor_*ˈkɔr:inth_ɪnθ
Sackets+Harbor,ˈsækɪts+ˈhɑːrbər,Sack_*ˈsæk:ets_ɪts*:+_+:Har_*ˈhɑːr:bor_bər
Bedford,ˈbɛdfərd,Bed_*ˈbɛd:ford_fərd
Warrensburg,ˈwɒrənzˌbɜːrɡ,Warrens_*ˈwɒrənz:burg_ˌbɜːrɡ
Baldwin,ˈbɔːldwɪn,Bald_*ˈbɔːld:win_wɪn
Gatesville,ˈɡeɪtsvɪl,Gates_*ˈɡeɪts:ville_vɪl
Tunbridge+Wells,ˈtʌnbrɪdʒ+wɛlz,Tun_*ˈtʌn:bridge_brɪdʒ*:+_+:Wells_*wɛlz
Quapaw,ˈkwɑpɔ,Qua_*ˈkwɑ:paw_pɔ
Acworth,ˈækwɝθ,Ac_*ˈæk:worth_wɝθ
Coeymans,ˈkoʊmənz,Coey_*ˈkoʊ:mans_mənz
Billings,ˈbɪlɪŋz,Bill_*ˈbɪl:ings_ɪŋz
Cortland,ˈkɔːrtlænd,Cor_*ˈkɔːr:tland_tlænd
Eastchester,ˈistˌtʃɛstər,East_*ˈist:chester_ˌtʃɛstər
Pittsford,ˈpɪtsfərd,Pitts_*ˈpɪts:ford_fərd
Adrian,ˈeɪdriən,Adri_*ˈeɪdri:an_ən
Hoosick+Falls,ˈhuːsɪk+fɔːlz,Hoosick_*ˈhuːsɪk*:+_+:Falls_*fɔːlz
Olney,ˈoʊlni,Ol_*ˈoʊl:ney_ni
Nanty-Glo,ˈnænti-ˈɡlo,Nanty_*ˈnænti:-_-:Glo_*ˈɡlo
Pawleys+Island,ˈpɔːliːz+ˈaɪlənd,Paw_*ˈpɔː:leys_liːz*:+_+:Island_*ˈaɪlənd
Forestville,ˈfɔrɪstvɪl,For_*ˈfɔr:est_ɪst:ville_vɪl
Gloversville,ˈɡlʌvərzvɪl,Glovers_*ˈɡlʌvərz:ville_vɪl
Suffern,ˈsʌfərn,Suf_*ˈsʌf:fern_ərn
Lynchburg,ˈlɪntʃbɜːrɡ,Lynch_*ˈlɪntʃ:burg_bɜːrɡ
Cockrell+Hill,ˈkɒkrəl+hɪl,Cock_*ˈkɒk:rell_rəl*:+_+:Hill_*hɪl
Wilmington,ˈwɪlmɪŋtən,Wil_*ˈwɪl:ming_mɪŋ:ton_tən
Fairmount,ˈfeərmaʊnt,Fair_*ˈfeər:mount_maʊnt
Pittston,ˈpɪtstən,Pitt_*ˈpɪt:ston_stən
Coopersburg,ˈkuːpərzˌbɜːrɡ,Coop_*ˈkuːp:ers_ərz:burg_ˌbɜːrɡ
Altoona,ˌælˈtuːnə,Alto_*ˌæl:ona_ˈtuːnə
Rockwall,ˈrɒkwɔːl,Rock_*ˈrɒk:wall_wɔːl
Plattsburgh,ˈplætsbɜːrɡ,Platts_*ˈplæts:burgh_bɜːrɡ
Greenville,ˈɡriːnvɪl,Green_*ˈɡriːn:ville_vɪl
Clarksville,ˈklɑːrksvɪl,Clark_*ˈklɑːrk:sville_svɪl
Lima,ˈlaɪmə,Li_*ˈlaɪ:ma_mə
Williamsville,ˈwɪljəmzvɪl,William_*ˈwɪljəm:sville_zvɪl
Cape+May+Court+House,ˈkeɪp+meɪ+kɔrt+haʊs,Cape_*ˈkeɪp*:+_+:May_*meɪ*:+_+:Court_*kɔrt*:+_+:House_*haʊs
Aberdeen,ˌæbərˈdiːn,Aber_*ˌæbər:deen_ˈdiːn
Wellesley+Hills,ˈwɛlzli+hɪlz,Welles_*ˈwɛlz:ley_li*:+_+:Hills_*hɪlz
Wading+River,ˈweɪdɪŋ+ˈrɪvər,Wad_*ˈweɪd:ing_ɪŋ*:+_+:River_*ˈrɪvər
Kirkby,ˈkɜːrbi,Kirk_*ˈkɜːr:by_bi
Westborough,ˈwɛstbʌrʌʊ,West_*ˈwɛst:borough_bʌrʌʊ
Amesbury,ˈeɪmzbəri,Ames_*ˈeɪmz:bury_bəri
Kettering,ˈkɛtərɪŋ,Ket_*ˈkɛt:ter_ər:ing_ɪŋ
Coventry,ˈkʌvəntri,Cov_*ˈkʌv:en_ən:try_tri
Rayville,ˈreɪvɪl,Ray_*ˈreɪ:ville_vɪl
Morristown,ˈmɒrɪstaʊn,Morris_*ˈmɒrɪs:town_taʊn
East+Brunswick,ˈiːst+ˈbrʌnzwɪk,East_*ˈiːst*:+_+:Brunswick_*ˈbrʌnzwɪk
Yaphank,ˈjæˌfæŋk,Ya_*ˈjæ:phank_ˌfæŋk
Hogansville,ˈhoʊɡənzvɪl,Ho_*ˈhoʊ:gans_ɡənz:ville_vɪl
Smithtown,ˈsmɪθtaʊn,Smith_*ˈsmɪθ:town_taʊn
Beckley,ˈbɛkli,Beck_*ˈbɛk:ley_li
Newcastle,ˈnjuːkɑːsəl,New_*ˈnjuː:castle_kɑːsəl
Watervliet,ˈwɔːtərˌvliːət,Water_*ˈwɔːtər:vliet_ˌvliːət
Chelsea,ˈtʃɛlsi,Chels_*ˈtʃɛls:ea_i
Greenwood,ˈɡriːnwʊd,Green_*ˈɡriːn:wood_wʊd
Belmont,ˈbɛlmɑnt,Bel_*ˈbɛl:mont_mɑnt
Westerville,ˈwɛstərvɪl,West_*ˈwɛst:er_ər:ville_vɪl
Scarsdale,ˈskɑːrzdɛɪl,Scars_*ˈskɑːrz:dale_dɛɪl
Bloomfield,ˈbluːmfiːld,Bloom_*ˈbluːm:field_fiːld
Kingston,ˈkɪŋstən,King_*ˈkɪŋ:ston_stən
Carmel,ˈkɑːrməl,Car_*ˈkɑːr:mel_məl
Solomons,ˈsɑləmənz,Sol_*ˈsɑl:om_əm:ons_ənz
Bridgewater,ˈbrɪdʒˌwɔːtər,Bridge_*ˈbrɪdʒ:water_ˌwɔːtər
Yorktown,ˈjɔːrktɑʊn,York_*ˈjɔːrk:town_tɑʊn
Danville,ˈdænvɪl,Dan_*ˈdæn:ville_vɪl
Bronxville,ˈbrɑŋksvɪl,Bronx_*ˈbrɑŋks:ville_vɪl
Norristown,ˈnɔrɪstaʊn,Norris_*ˈnɔrɪs:town_taʊn
Livermore,ˈlɪvərmɔː,Liv_*ˈlɪv:er_ər:more_mɔː
Hickory+Ridge,ˈhɪkəri+rɪdʒ,Hick_*ˈhɪk:ory_əri*:+_+:Ridge_*rɪdʒ
Bensenville,ˈbɛnzɛnvɪl,Bens_*ˈbɛnz:enville_ɛnvɪl
Great+Barrington,ˈɡreɪt+bəˈrɪŋtən,Great_*ˈɡreɪt*:+_+:Barrington_*bəˈrɪŋtən
Whitesboro,ˈwaɪtsbɜroʊ,Whites_*ˈwaɪts:boro_bɜroʊ
East+Meadow,ˈiːst+ˈmɛdoʊ,East_*ˈiːst*:+_+:Meadow_*ˈmɛdoʊ
Webster,ˈwɛbstər,Web_*ˈwɛb:ster_stər
Green+Bay,ˈɡriːn+beɪ,Green_*ˈɡriːn*:+_+:Bay_*beɪ
Longview,ˈlɔːŋvjuː,Long_*ˈlɔːŋ:view_vjuː
Dunkirk,ˈdʌnkɜrk,Dun_*ˈdʌn:kirk_kɜrk
Gettysburg,ˈɡɛtizbɜːrɡ,Get_*ˈɡɛt:tys_iz:burg_bɜːrɡ
Kaler,ˈkeɪlɜr,Kal_*ˈkeɪl:er_ɜr
