Redding,ˈrɛdɪŋ,Red_*ˈrɛd:ding_ɪŋ
Paradise,ˈpærəˌdaɪs,Par_*ˈpær:a_ə:dise_ˌdaɪs
Aptos,ˈæptoʊs,Apt_*ˈæpt:os_oʊs
Atwater,ˈætwɔːtər,At_*ˈæt:water_wɔːtər
Carmichael,ˈkɑːrmɪkəl,Car_*ˈkɑːr:michael_mɪkəl
Ojai,ˈoʊhaɪ,Oj_*ˈoʊh:ai_aɪ
Rocklin,ˈrɑklɪn,Rock_*ˈrɑk:lin_lɪn
Anaheim,ˈænəhaɪm,Ana_*ˈænə:heim_haɪm
Irvine,ˈɜrvaɪn,Ir_*ˈɜr:vine_vaɪn
Bakersfield,ˈbeɪkərzfiːld,Bak_*ˈbeɪk:ers_ərz:field_fiːld
Oildale,ˈɔɪldleɪ,Oil_*ˈɔɪl:dale_dleɪ
Marlborough,ˈmɑːrlbrʌroʊ,Marl_*ˈmɑːrl:borough_brʌroʊ
Oakland,ˈoʊklənd,Oak_*ˈoʊk:land_lənd
Dublin,ˈdʌblɪn,Dub_*ˈdʌb:lin_lɪn
Calistoga,ˌkælɪsˈtoʊɡə,Calis_*ˌkælɪs:to_ˈtoʊ:ga_ɡə
Clovis,ˈkloʊvɪs,Clo_*ˈkloʊ:vis_vɪs
Thousand+Oaks,ˈθaʊzənd+oʊks,Thou_*ˈθaʊ:sand_zənd*:+_+:Oaks_*oʊks
Berkeley,ˈbɜːrkli,Ber_*ˈbɜːrk:keley_li
Buttonwillow,ˈbʌtənˌwɪloʊ,Button_*ˈbʌtən:willow_ˌwɪloʊ
Daly+City,ˈdeɪli+ˈsɪti,Daly_*ˈdeɪli*:+_+:City_*ˈsɪti
Carlsbad,ˈkɑrlzˌbæd,Carls_*ˈkɑrlz:bad_ˌbæd
Colma,ˈkoʊlmə,Col_*ˈkoʊl:ma_mə
Grass+Valley,ˈɡræs+ˈvæli,Grass_*ˈɡræs*:+_+:Valley_*ˈvæli
Solvang,ˈsɒlvæŋ,Sol_*ˈsɒl:vang_væŋ
Upland,ˈʌplænd,Up_*ˈʌp:land_lænd
Felton,ˈfɛltən,Fel_*ˈfɛl:ton_tən
Santa+Clara,ˌsæntə+ˈklærə+,Santa_*ˌsæntə*:+_+:Clara_*ˈklærə+
Santa+Cruz,ˌsæntə+ˈkruːz,Santa_*ˌsæntə*:+_+:Cruz_*ˈkruːz
Stockton,ˈstɑktn,Stock_*ˈstɑk:ton_tn
Perris,ˈpɛrɪs,Per_*ˈpɛr:ris_ɪs
Kerman,ˈkɜːrmən,Ker_*ˈkɜːr:man_mən
Byron,ˈbaɪrən,By_*ˈbaɪ:ron_rən
Palmdale,ˈpɑːmdeɪl,Palm_*ˈpɑːm:dale_deɪl
Dorris,ˈdɔrɪs,Dor_*ˈdɔr:ris_ɪs
Hemet,ˈhiːmɛt,Hem_*ˈhiːm:et_ɛt
Barstow,ˈbɑrstoʊ,Bar_*ˈbɑr:stow_stoʊ
West+Hollywood,ˈwɛst+ˈhoʊliˌwʊd,West_*ˈwɛst*:+_+:Holly_*ˈhɑli:wood_wʊd
Yreka,ˈwaɪˈriːkə,Yre_*ˈwaɪ:ka_ˈriːkə
Woodland,ˈwʊdlənd,Wood_*ˈwʊd:land_lənd
Calipatria,ˌkælɪˈpeɪtriə,Cal_*ˌkæl:i_ɪ:patria_ˈpeɪtriə
San+Jose,ˌsæn+hoʊˈzeɪ,San_*ˌsæn*:+_+:Jose_*hoʊˈzeɪ
Albany,ˈɔːlbəni,Alb_*ˈɔːlb:any_əni
Needles,ˈniːdəlz,Need_*ˈniːd:les_əlz
Banning,ˈbænɪŋ,Ban_*ˈbæn:ning_ɪŋ
Brawley,ˈbrɔli,Braw_*ˈbrɔ:ley_li
Yucca+Valley,ˈjʌkə+ˈvæli,Yucca_*ˈjʌkə*:+_+:Valley_*ˈvæli
Shafter,ˈʃæftər,Shaf_*ˈʃæf:ter_tər
Quincy,ˈkwɪnsi,Quin_*ˈkwɪn:cy_si
Piedmont,ˈpiːdmɒnt,Pied_*ˈpiːd:mont_mɒnt
Hanford,ˈhænfərd,Han_*ˈhæn:ford_fərd
San+Mateo,ˌsæn+məˈteɪ.oʊ,San_*ˌsæn*:+_+:Mateo_*məˈteɪ.oʊ
Shasta+Lake,ˈʃæstə+leɪk,Shas_*ˈʃæs:ta_tə*:+_+:Lake_*leɪk
Fullerton,ˈfʊlərtən,Full_*ˈfʊl:er_ər:ton_tən
San+Bernardino,ˌsæn+ˌbɜːrnərˈdiːno,San_*ˌsæn*:+_+:Bernardino_*ˌbɜːrnərˈdiːno
Redwood+City,ˈrɛdwʊd+ˈsɪti,Red_*ˈrɛd:wood_wʊd*:+_+:City_*ˈsɪti
Bishop,ˈbɪʃəp,Bish_*ˈbɪʃ:op_əp
San+Diego,ˌsæn+diˈeɪɡo,San_*ˌsæn*:+_+:Diego_*diˈeɪɡo
Clearlake,ˈklɪrleɪk,Clear_*ˈklɪr:lake_leɪk
Culver+City,ˈkʌlvər+ˈsɪti,Cul_*ˈkʌl:ver_vər*:+_+:City_*ˈsɪti
Foster+City,ˈfɔstər+ˈsɪti,Fos_*ˈfɔs:ter_tər*:+_+:Ci_*ˈsɪ:ty_ti
Wasco,ˈwɑsko,Was_*ˈwɑs:co_ko
Huntington+Beach,ˈhʌntɪŋtən++biːʧ,Huntington_*ˈhʌntɪŋtən*:+_++:Beach_*biːʧ
Truckee,ˈtrʌki,Truck_*ˈtrʌk:ee_i
Healdsburg,ˈhiːldzbɜːrg,Healds_*ˈhiːldz:burg_bɜːrg
Compton,ˈkɒmptən,Com_*ˈkɒm:pton_ptən
Orcutt,ˈɔːrkʌt,Orc_*ˈɔːrk:utt_ʌt
Placerville,ˈplæsərvɪl,Plac_*ˈplæs:er_ər:ville_vɪl
San+Rafael,ˌsæn+rəˈfɛl,San_*ˌsæn*:+_+:Rafael_*rəˈfɛl
Fairfield,ˈfɛrˌfild,Fair_*ˈfɛr:field_ˌfild
Sanger,ˈseɪŋər,Sang_*ˈseɪŋ:er_ər
Simi+Valley,ˈsɪmi+ˈvæli,Simi_*ˈsɪmi*:+_+:Valley_*ˈvæli
Emeryville,ˈɛməriˌvɪl,Em_*ˈɛm:ery_əri:ville_ˌvɪl
Alamo,ˈæləmo,Al_*ˈæl:amo_əmo
Durham,ˈdɜːrəm,Dur_*ˈdɜːr:ham_əm
Chatsworth,ˈtʃætswɜrθ,Chats_*ˈtʃæts:worth_wɜrθ
Burlingame,ˈbɜːrlɪŋɡeɪm,Bur_*ˈbɜːr:ling_lɪŋ:ame_ɡeɪm
Carson,ˈkɑːrsən,Car_*ˈkɑːr:son_sən
Mira+Loma,ˈmɪrə+ˈloʊmə,Mira_*ˈmɪrə*:+_+:Loma_*ˈloʊmə
Dixon,ˈdɪksən,Dix_*ˈdɪks:on_ən
Apple+Valley,ˈæpəl+ˈvæli,Apple_*ˈæpəl*:+_+:Valley_*ˈvæli
Alviso,ˈælviˌso,Al_*ˈæl:vi_vi:so_ˌso
Long+Beach,ˈlɔːŋ+ˌbiːtʃ,Long_*ˈlɔːŋ*:+_+:Beach_*ˌbiːtʃ
Kingsburg,ˈkɪŋzbɜːrɡ,Kings_*ˈkɪŋz:burg_bɜːrɡ
Vacaville,ˌvækəˈvɪl,Vac_*ˌvæk:a_ə:ville_ˈvɪl
Palm+Springs,ˈpɑːm+spɹɪŋz,Palm_*ˈpɑːm*:+_+:Springs_*spɹɪŋz
Pismo+Beach,ˈpɪzmoʊ+biːtʃ,Pis_*ˈpɪz:mo_moʊ*:+_+:Beach_*biːtʃ
Huron,ˈhjʊrɑn,Hur_*ˈhjʊr:on_ɑn
Pleasant+Hill,ˈplɛzənt+hɪl,Pleasant_*ˈplɛzənt*:+_+:Hill_*hɪl
Fairfax,ˈfeərˌfæks,Fair_*ˈfeər:fax_ˌfæks
Arvin,ˈɑːrvɪn,Ar_*ˈɑːr:vin_vɪn
San+Francisco,ˌsæn+frənˈsɪsko,San_*ˌsæn*:+_+:Fran_*frən:cis_ˈsɪs:co_ko
Altadena,ˌɔːltəˈdiːnə,Alt_*ˌɔːlt:adena_əˈdiːnə
Atherton,ˈæθərtən,Ath_*ˈæθ:er_ər:ton_tən
Larkspur,ˈlɑːrkspɜːr,Lark_*ˈlɑːrk:spur_spɜːr
Norco,ˈnɔrko,Nor_*ˈnɔr:co_ko
Santa+Rosa,ˌsæntə+ˈroʊzə,Santa_*ˌsæntə*:+_+:Rosa_*ˈroʊzə
Whitethorn,ˈwaɪtˌθɔrn,Whit_*ˈwaɪt:ethorn_ˌθɔrn
Hollywood,ˈhɑliwʊd,Holly_*ˈhɑli:wood_wʊd
Igo,ˈaɪɡo,Ig_*ˈaɪɡ:o_o
Baldwin+Park,ˈbɔldwɪn+pɑrk,Bald_*ˈbɔld:win_wɪn*:+_+:Park_*pɑrk
Auburn,ˈɔːbərn,Aub_*ˈɔːb:urn_ərn
Glendale,ˈɡlɛndeɪɫ,Glen_*ˈɡlɛn:dale_deɪɫ
Beverly+Hills,ˈbɛvərli+hɪlz,Bev_*ˈbɛv:er_ər:ly_li*:+_+:Hills_*hɪlz
Loomis,ˈluːmɪs,Loom_*ˈluːm:is_ɪs
Alhambra,ˌælˈhæmbrə,Al_*ˌæl:hambra_ˈhæmbrə
